question,generated_answer
who sang love the one you're with first,Stephen Stills
what were the companies that built the transcontinental railroad,"The rail line was built by three private companies: the Western Pacific Railroad Company, the Central Pacific Railroad Company, and the Union Pacific."
what is the function of the human brain,"controlling most of the activities of the body, processing, integrating, and coordinating the information it receives from the sense organs, and making decisions as to the instructions sent to the rest of the body"
how did france contribute to the american victory in the revolutionary war,"France allied with the United States during the American Revolutionary War ( American War of Independence 1775 -- 1783 ) in 1778, declared war on Great Britain, and sent its armies and navy to fight Britain while providing money and matériel to arm the new republic"
what impact did the treaty of fontainebleau have on louisiana,"Having lost Canada, King Louis XV of France proposed to King Charles III of Spain that France should give Spain the country known as Louisiana, as well as New Orleans and the island in which the city is situated"
where are they filming the tv series yellowstone,"Filming took place at the Chief Joseph Ranch in Darby, Montana; near Park City, Utah; all three soundstages at the Utah Film Studio in Park City; in more than twenty locations in Utah, including the Salt Flats and Spanish Fork; at various locations in Montana."
administers the oath of office to the president,"it is typically administered by the Chief Justice. There have been several exceptions, however. Overall, the presidential oath has been administered by 15 Chief Justices (one of whom - William Howard Taft - was also a former president), one Associate Justice, four federal judges, two New York state judges, and one notary public."
what hymn did they play on the titanic,"Nearer, My God, to Thee"
who sang the bare necessities in jungle book,Phil Harris as Baloo and Bruce Reitherman as Mowgli
what does the grana do in a plant cell,the site of the light - dependent reactions of photosynthesis
what is the most selling movie of all time,Titanic
where are genes located what are their functions,a sequence of DNA or RNA that codes for a molecule that has a function
where does how now brown cow come from,elocution teaching to demonstrate rounded vowel sounds
what is the order of the thor films,"A sequel, Thor : The Dark World, was released on November 8, 2013. A third film, Thor : Ragnarok, was released on November 3, 2017."
the coquette or the history of eliza wharton summary,"Eliza Wharton has just been released from an unwanted marriage by the death of her betrothed. After this experience, she decides she wants friendship and independence. After a short period she is courted by two men, Boyer, a respected but rather boring clergyman, and Sanford, an aristocratic libertine."
who won the first land battle of the civil war,Confederate
nba players to win back to back finals mvp,"Hakeem Olajuwon, Kevin Durant, Kobe Bryant, and LeBron James"
what are the functions of parenchyma collenchyma and sclerenchyma,"provides extra structural support, particularly in regions of new growth. Sclerenchyma provides the main structural support to a plant"
what happens to mr rochester in jane eyre,"In his rescue attempts, Mr. Rochester lost a hand and his eyesight."
what are some famous foods in el salvador,"pupusa, a thick handmade corn flour or rice flour tortilla stuffed with cheese, chicharrón, refried beans or loroco"
