,SYNT_shuffle_words,SYNT_verb_tense_errors
acc_median_finalbelow0.6_50,-0.08,1.84
acc_median_finalbelow0.6_100,0.28,4.98
comp_final_medianbelow0.6_50,0.97,0.13
comp_final_medianbelow0.6_100,4.99,0.26
key_concept_coveragebelow0.6_50,2.05,-0.75
key_concept_coveragebelow0.6_100,7.09,-0.45
Concisenessbelow0.5_50,0.1,0.14
Concisenessabove1.5_50,-1.88,-0.81
Concisenessbelow0.5_100,1.42,0.24
Concisenessabove1.5_100,-4.45,-0.9
Num_additionabove2_50,1.31,0.1
Num_additionabove2_100,3.84,0.24
Num_direct_modificationsabove2_50,0.0,2.21
Num_direct_modificationsabove2_100,0.0,7.05
acc_median_finalbelow0.4_50,0.0,0.13
acc_median_finalbelow0.4_100,0.0,0.58
comp_final_medianbelow0.4_50,-0.22,-0.54
comp_final_medianbelow0.4_100,0.29,-0.33
key_concept_coveragebelow0.4_50,0.13,-0.86
key_concept_coveragebelow0.4_100,2.28,-0.87
Num_additionabove4_50,0.12,-0.22
Num_additionabove4_100,0.72,-0.19
Num_direct_modificationsabove4_50,0.0,0.47
Num_direct_modificationsabove4_100,0.0,2.16
