,SYNT_shuffle_words,SYNT_verb_tense_errors
acc_median_final_below_0.6_50,0.23,2.07
acc_median_final_below_0.6_100,2.52,5.17
comp_final_median_below_0.6_50,5.63,1.05
comp_final_median_below_0.6_100,14.14,1.04
key_concept_coverage_below_0.6_50,9.51,-0.4
key_concept_coverage_below_0.6_100,21.01,-0.93
Conciseness_below_0.5_50,0.37,-0.54
Conciseness_above_1.5_50,-3.72,0.27
Conciseness_below_0.5_100,2.24,-0.58
Conciseness_above_1.5_100,-4.73,0.6
Num_addition_above_2_50,0.4,0.41
Num_addition_above_2_100,2.58,-0.18
Num_direct_modifications_above_2_50,0.0,0.79
Num_direct_modifications_above_2_100,0.0,2.93
acc_median_final_below_0.4_50,0.0,0.04
acc_median_final_below_0.4_100,-0.03,0.14
comp_final_median_below_0.4_50,1.13,-0.03
comp_final_median_below_0.4_100,2.99,-0.2
key_concept_coverage_below_0.4_50,4.59,-0.35
key_concept_coverage_below_0.4_100,11.23,-0.64
Num_addition_above_4_50,0.67,0.41
Num_addition_above_4_100,1.38,0.22
Num_direct_modifications_above_4_50,0.0,0.04
Num_direct_modifications_above_4_100,0.0,0.44
